Time,Down,Type,Yards,Details,Montreal,Hamilton
04:00,3,Punt,5,Delbert Alvarado punts for 49 yards to Ham21. Jahmeek Taylor return for 5 yards to Ham26. Tackled by Chris Smith.,23,28
03:20,1,Pass,7,Jeremiah Masoli pass to Giovanni Aprile for 7 yards to the Ham33. Tackled by Brandon Driver.,23,28
03:09,2,Time Count,-5,Penalty: Time Count on Hamilton (Jeremiah Masoli) -5 yards.,23,28
02:47,2,Sack,-4,Sack at Ham24 for a loss of 4 yards by Ameet Pall.,23,28
02:41,3,Punt,-2,Brett Lauther punts for 52 yards to Mtl34. Brandon Rutley return for a loss of 2 yards to Mtl32. Tackled by Matt Coates.,23,28
02:15,1,Rush,1,Brandon Rutley rush for 1 yard to the Mtl33. Tackled by Brandon Thurmond.,23,28
02:10,2,Incomplete Pass,0,Collin Klein incomplete pass intended for Brandon Rutley.,23,28
01:52,3,Punt,3,Delbert Alvarado punts for 50 yards to Ham27. Jahmeek Taylor return for 3 yards to Ham30. Tackled by Jonathan Beaulieu-Richard.,23,28
01:42,1,Rush,10,Isi Sofele rush for 10 yards to the Ham40. Tackled by Daryl Townsend.,23,28
01:36,2,Rush,2,Jeremiah Masoli rush for 2 yards to the Ham42. Tackled by Nicolas Boulay.,23,28
01:15,1,Rush,3,Isi Sofele rush for 3 yards to the Ham45. Tackled by CJ James.,23,28
00:52,2,Rush,2,Isi Sofele rush for 2 yards to the Ham47. Tackled by Michael Klassen.,23,28
00:31,3,Punt,-4,Brett Lauther punts for 48 yards to Mtl15. Brandon Rutley return for a loss of 4 yards to Mtl11. Tackled by David Caldwell.,23,28
00:16,1,Rush,6,Collin Klein rush for 6 yards to the Mtl17. Tackled by Damien Jackson.,23,28
00:09,2,Interception,0,Collin Klein pass intended for Jheranie Boyd INTERCEPTED. No return. Tackled by Wayne Tribue.,23,28
