Time,Down,Type,Yards,Details,Montreal,Winnipeg
01:49,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green.,34,33
01:41,3,Missed Field Goal,36,Sean Whyte 36 yard field goal attempt is GOOD.,37,33
01:41,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Cory Watson.,37,33
01:38,2,Pass,8,Buck Pierce pass to Cory Watson for 8 yards to the Wpg43. Tackled by Kyries Hebert.,37,33
01:31,3,Incomplete Pass,0,Buck Pierce incomplete pass intended for Terrence Edwards defensed by Jerald Brown.,37,33
01:24,1,Rush,3,Steven Lumbala rush for 3 yards to the Wpg40. Tackled by Terrell Parker.,37,33
01:19,2,Rush,-3,Noel Devine rush for a loss of 3 yards to the Wpg43. Tackled by Alex Suber.,37,33
00:25,3,Punt Single,44,Sean Whyte punts for 44 yards to Wpg0 (Single).,38,33
00:25,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Chris Matthews defensed by Jerald Brown.,38,33
00:18,2,Interception,2,Buck Pierce pass intended for Jade Etienne INTERCEPTED by Byron Parker and returned for 2 yards. Tackled by Jade Etienne.,38,33
